Country Name,Country Code,2018,2019,2020,2021,2022,Population_2018,Population_2019,Population_2020,Population_2021,Population_2022
China,CHN,13894907857880.6,14279968506271.7,14687744162801.0,17820459508852.2,17881782683707.3,1402760000,1407745000,1411100000,1412360000,1412175000
Cote d'Ivoire,CIV,58522477786.6889,60382894697.3557,63027852805.4204,72794636653.7793,70173140101.4315,27464173,28193009,28915449,29639736,30395002
Cameroon,CMR,39955552189.795,39667757527.6578,40773241177.0505,45011937346.8384,44347206072.5513,24806383,25506095,26210558,26915758,27632771
"Congo, Dem. Rep.",COD,47568210009.8172,51775829877.2088,48716961860.1325,55328482783.5393,65801547619.5815,90047644,92947442,95989998,99148932,102396968
"Congo, Rep.",COG,14773900288.5135,13976637779.9763,11468687464.0046,14825690210.9157,15817030154.6941,5483118,5616661,5752791,5892183,6035104
Colombia,COL,334198218098.276,323031701192.84,270348342541.465,318524633225.395,345329875078.512,49024465,49907985,50629997,51188173,51737944
Comoros,COM,1188797449.38584,1195019531.9011,1225039196.61091,1296089479.91978,1242519407.77603,771590,786578,802163,818174,834188
Cabo Verde,CPV,2205099509.15987,2252177133.74705,1821565617.6945,2051842609.64558,2247003347.63376,513415,514104,514679,516649,519741
Costa Rica,CRI,62420164991.5374,64417670521.3545,62395610760.0492,64960725734.1965,69243626028.5936,4957818,4999553,5034320,5059988,5081765
Caribbean small states,CSS,36727457619.9835,38046955433.6011,31763210392.7783,37091445807.6818,48740490013.1088,3048465,3079149,3092577,3111609,3131505
Cuba,CUB,100050036096.123,103427600000.0,107351800000.0,,,11227118,11202846,11176354,11122168,11059820
Curacao,CUW,3046364804.46927,3026124134.07821,2534327597.76536,2739608156.42458,3075180834.72417,159336,157441,154947,152369,149996
Cayman Islands,CYM,5530178440.71376,5941896607.58643,5655358021.43209,6060026520.10608,6600843963.37585,65941,67327,68684,70108,71591
Cyprus,CYP,25754001367.5448,26196667099.5303,25555093854.2968,30372874319.6285,30976176886.8521,1270737,1286671,1302247,1317309,1331370
Czechia,CZE,251992360762.236,256794209028.77,251109660602.536,290972714482.313,301831228325.556,10629928,10671870,10697858,10505772,10672118
Germany,DEU,4052008447223.53,3957208055215.68,3940142541354.1,4348297440387.53,4163596357879.39,82905782,83092962,83160871,83196078,83797985
Djibouti,DJI,2913466732.12507,3088853638.56832,3185150981.03207,3385825228.86997,3674298479.07676,1071882,1088709,1105188,1121248,1137096
Dominica,DMA,554770370.37037,611537037.037037,504214814.814815,555266666.666667,607159259.259259,68174,67880,67573,67202,66826
Denmark,DNK,355293374912.393,345401473012.615,355631021931.621,408378204639.999,401945576107.963,5793636,5814422,5831404,5856733,5903037
Dominican Republic,DOM,85555390139.118,88941372558.2397,78844656298.1776,94243425938.3647,113537368176.13,10782053,10894043,11008300,11123476,11230734
Algeria,DZA,194554483655.528,193459662090.677,164873415325.201,186231205262.082,225638456572.143,42505035,43294546,44042091,44761099,45477389
East Asia & Pacific (excluding high income),EAP,16648930593614.8,17222812070662.6,17496305186280.5,20849863760041.9,21124945071215.4,2100698838,2112289891,2121866294,2128553744,2133560408
Early-demographic dividend,EAR,11610507701898.7,11834959859719.9,11006437195990.5,12811302058068.8,14147623772391.9,3314245247,3355014793,3396051187,3432026092,3470644834
East Asia & Pacific,EAS,26494505143186.8,27040135154758.5,27163485040463.8,31155716955057.3,30673443320595.9,2347576325,2359771090,2369438682,2375144416,2379648296
Europe & Central Asia (excluding high income),ECA,1468176944855.79,1498314054530.37,1437142037120.74,1670340541088.59,1817978495944.86,246654915.5,248858341,250655325.5,252183790,250834021.5
Europe & Central Asia,ECS,23306311175509.3,23031892537932.9,22286624242751.4,25523993209132.2,25662572829777.2,919738352.5,922811778,925088545.5,925075848,925385334.5
Ecuador,ECU,107478962000.0,107595829000.0,95865472000.0,107435101000.0,116586079000.0,17049547,17340021,17546065,17682454,17823897
"Egypt, Arab Rep.",EGY,262588632526.73,318678815489.749,383817841547.099,424671765455.704,476747720364.742,105682094,107553158,109315124,110957008,112618250
Euro area,EMU,13867949267318.1,13587020300289.4,13266857904728.0,14917737268178.2,14452048668851.0,346105839,346454019,346922366,347094588,348627172
Eritrea,ERI,,,,,,3192760,3240194,3291271,3350183,3409447
Spain,ESP,1431642809327.06,1403496387686.27,1289783836971.21,1461244901852.69,1446498147749.03,46797754,47134837,47365655,47415794,47759127
Estonia,EST,31222632740.7247,31873748770.0313,31820771493.8974,37204563051.4723,38376046174.971,1321977,1326898,1329522,1330932,1348840
Ethiopia,ETH,84269196625.8784,95912607722.3032,107657734392.446,111261882958.426,126772703047.701,112664152,115737383,118917671,122138588,125384287
European Union,EUU,16091487781135.5,15808398315797.0,15504700009593.0,17496551469916.3,16995332000257.8,446953938,447303223,447653554,446564156,447847220
Fragile and conflict affected situations,FCS,1734689832167.02,1842632114099.19,1675406927630.4,1786326958459.63,1964841634349.73,953648681,974824119,996691242,1018693078,1038158122
